X   Y   Z
12   4   1   %max

%% 00
0.5   4   0.75
0.5   0   0.70

1   4   0.14
1   0   0.15

1.5   4   0.080
1.5   0   0.11

2   4   0.031
2   0   0.047

%% 01
3.5   4   0.14
3.5 0   0.13

4.0   4   0.72
4.0  0   0.72

4.5   4   0.048
4.5   0   0.040

5.0  4  0.087
5.0  0   0.11

%% 10
6.5   4   0.13
6.5   0   0.090

7.0   4   0.038
7.0  0   0.044

7.5   4   0.69
7.5   0   0.73

8.0   4   0.14
8.0  0   0.14


%% 11
9.5   4   0.053
9.5  0   0.0419

10   4  0.12
10   0   0.084

10.5   4   0.17
10.5   0   0.13

11   4   0.66
11   0   0.74
