X   Y   Z
12   4   1   %max

%% 00
0.5   4   0.89
0.5   0   0.83

1   4   0.077
1   0   0.12

1.5   4   0.026
1.5   0   0.035

2   4   0.008
2   0   0.006

%% 01
3.5   4   0.17
3.5 0   0.09

4.0   4   0.79
4.0  0   0.86

4.5   4   0.008
4.5   0   0.008

5.0  4  0.0321
5.0  0   0.035

%% 10
6.5   4   0.05
6.5   0   0.024

7.0   4   0.002
7.0  0   0.009

7.5   4   0.85
7.5   0   0.85

8.0   4   0.100
8.0  0   0.12


%% 11
9.5   4   0.010
9.5  0   0.0101

10   4  0.046
10   0   0.033

10.5   4   0.18
10.5   0   0.11

11   4   0.76
11   0   0.85
