X   Y   Z
12   4   1   %max

%% 00
0.5   4   0.74
0.5   0   0.75

1   4   0.087
1   0   0.11

1.5   4   0.097
1.5   0   0.076

2   4   0.080
2   0   0.066

%% 01
3.5   4   0.10
3.5 0   0.11

4.0   4   0.74
4.0  0   0.72

4.5   4   0.077
4.5   0   0.083

5.0  4  0.089
5.0  0   0.083

%% 10
6.5   4   0.089
6.5   0   0.085

7.0   4   0.080
7.0  0   0.059

7.5   4   0.73
7.5   0   0.76

8.0   4   0.10
8.0  0   0.0952


%% 11
9.5   4   0.078
9.5  0   0.073

10   4  0.077
10   0   0.12

10.5   4   0.094
10.5   0   0.12

11   4   0.75
11   0   0.70
