X   Y   Z
12   4   1   %max

%% 00
0.5   4   0.82
0.5   0   0.80

1   4   0.1
1   0   0.071

1.5   4   0.046
1.5   0   0.089

2   4   0.037
2   0   0.041

%% 01
3.5   4   0.080
3.5 0   0.078

4.0   4   0.83
4.0  0   0.80

4.5   4   0.035
4.5   0   0.044

5.0  4   0.050
5.0  0   0.082

%% 10
6.5   4   0.10
6.5   0   0.068

7.0   4   0.038
7.0  0   0.051

7.5   4   0.77
7.5   0   0.89

8.0   4   0.086
8.0  0   0.080


%% 11
9.5   4   0.037
9.5  0   0.041

10   4  0.12
10   0   0.060

10.5   4   0.070
10.5   0   0.073

11   4   0.77
11   0   0.83
